Time (sec),Proposed,DA,COA,PSO,GA
0,17.58,17.58,17.58,17.58,17.58
10,17.578,17.578,17.578,17.578,17.578
20,17.575999999999997,17.575999999999997,17.575999999999997,17.575999999999997,17.575999999999997
30,17.573999999999998,17.573999999999998,17.573999999999998,17.573999999999998,17.573999999999998
40,17.572,17.572,17.572,17.572,17.572
50,17.569999999999997,17.569999999999997,17.569999999999997,17.569999999999997,17.569999999999997
60,17.567999999999998,17.567999999999998,17.567999999999998,17.567999999999998,17.567999999999998
70,17.566,17.566,17.566,17.566,17.566
80,17.564,17.564,17.564,17.564,17.564
90,17.561999999999998,17.561999999999998,17.561999999999998,17.561999999999998,17.561999999999998
100,17.56,17.56,17.56,17.56,17.56
110,17.558,17.558,17.558,17.558,17.558
120,17.555999999999997,17.555999999999997,17.555999999999997,17.555999999999997,17.555999999999997
130,17.554,17.554,17.554,17.554,17.554
140,17.552,17.552,17.552,17.552,17.552
150,17.549999999999997,17.549999999999997,17.549999999999997,17.549999999999997,17.549999999999997
160,17.548,17.548,17.548,17.548,17.548
170,17.546,17.546,17.546,17.546,17.546
180,17.543999999999997,17.543999999999997,17.543999999999997,17.543999999999997,17.543999999999997
190,17.541999999999998,17.541999999999998,17.541999999999998,17.541999999999998,17.541999999999998
200,17.54,17.54,17.54,17.54,17.54
210,17.537999999999997,17.537999999999997,17.537999999999997,17.537999999999997,17.537999999999997
220,17.535999999999998,17.535999999999998,17.535999999999998,17.535999999999998,17.535999999999998
230,17.534,17.534,17.534,17.534,17.534
240,17.532,17.532,17.532,17.532,17.532
250,17.529999999999998,17.529999999999998,17.529999999999998,17.529999999999998,17.529999999999998
260,17.528,17.528,17.528,17.528,17.528
270,17.526,17.526,17.526,17.526,17.526
280,17.523999999999997,17.523999999999997,17.523999999999997,17.523999999999997,17.523999999999997
290,17.522,17.522,17.522,17.522,17.522
300,17.52,17.52,17.52,17.52,17.52
310,17.517999999999997,17.517999999999997,17.517999999999997,17.517999999999997,17.517999999999997
320,17.516,17.516,17.516,17.516,17.516
330,17.514,17.514,17.514,17.514,17.514
340,17.511999999999997,17.511999999999997,17.511999999999997,17.511999999999997,17.511999999999997
