No of Vehicles,Proposed (%),DA (%),COA (%),PSO (%),GA (%)
100,120.2624904715971,116.85541776712262,109.48504993775956,104.89875180195482,104.51469960238435
196,108.8348869842733,105.79611315639114,97.51892834159253,97.11042292981132,91.11653868873658
304,98.69563177652654,93.27191960928192,89.83281625983025,89.04664948846016,78.04062292137253
405,89.24433306213466,83.8369071754257,77.82431393641687,77.72523124276461,70.18909970464571
500,76.59764096551925,76.6762966575462,68.58425365175505,64.8562875223952,58.686166706248244
104,117.35270085831564,115.76584342011452,110.49921891641942,103.14346832268801,100.18525517589785
196,109.12819706181914,108.25286146921772,95.11859197044983,96.61931506029649,92.48572512571663
303,101.75509510690284,95.47208612764874,89.63142199633458,85.46142349814993,80.2468583634073
395,90.70332470994812,84.22795440425861,79.58832028015732,75.20357666741465,67.0835737723625
496,81.13728923202554,73.16848991773288,67.27105829276543,65.61269506786404,63.26025992974882
99,120.74068053465768,116.85056378543366,112.32998176512784,109.10414662284387,102.01282208005311
199,113.14829357206482,105.33730273522039,101.250636668043,91.58808181021853,87.88432676277954
296,99.30818543866634,96.35271409534981,89.66145112333476,83.7458143504554,80.52153363496613
398,88.32523842063506,84.92462575851552,82.7047250918523,74.91816492960986,68.8435758035605
503,81.79159243647186,75.4677302020185,65.27028925441698,64.70703865854368,60.59028195867484
103,121.44962995262148,115.18033476652657,107.3204894934077,104.10383675252525,99.6427056046439
205,108.38306765378931,104.60258057268884,98.90145932775945,95.44008033330807,88.81467339868999
302,103.5165353623412,95.08011436453006,89.06666614596412,85.36170521864513,79.00904233812201
395,88.92293057538876,83.11942496365879,81.69044272554268,73.81791865737009,71.89870137870389
498,81.2043879580548,74.22486773485514,69.33614961330589,65.7884567850376,59.06914401348089
96,120.52225067301228,115.9662583673816,110.505220854844,105.14291161281052,102.31853707695541
201,108.56653451235566,104.71152408012588,100.36770562094645,94.34653288006935,89.02928114341505
305,97.48739513300951,93.67891773692537,93.4794381491687,85.7081490020279,80.77468787150613
403,90.20608122897204,84.4426401645842,80.07927213016296,74.15867881210316,65.03730179502747
500,81.1820974096987,74.51894095412959,70.72160193693043,64.8835654974253,59.629312178686234
105,120.45712721339976,113.08964080340093,108.77078057746965,105.63771116921188,102.10011606224124
198,108.77043785258283,107.33250622619897,99.99630782327176,94.99910120263547,91.15123412840245
295,100.12463322534929,93.14477909628742,88.30414659303244,85.1052624557873,79.58205689750135
404,87.38388145574682,86.95042483820882,78.24524843083992,74.35073429127824,67.55842983265136
502,81.78332693954175,73.33807024722196,68.32731739400289,66.09739979972134,56.045838600631846
97,119.87027029925382,115.0566775589672,112.42454195619587,106.43650053500838,100.37335384819518
203,112.26511091416641,107.26370967003218,101.17944260002672,90.01198071363872,88.97308167728765
305,102.89271020988764,91.03314341337459,87.91005686829641,85.24918961783196,78.27681320822651
405,90.68312786350162,82.8497962190437,81.97909796214688,76.17048012858363,73.02118163450687
503,79.53986259605561,77.00808480558392,72.7228653825577,63.96876533935547,60.43013734050453
105,121.03869265919427,116.28177664902724,109.08322384629263,103.24556002822621,100.61049731923514
204,111.68321440751679,104.52698724908495,100.01204227163339,95.0924836500364,91.57776841509728
303,101.88093401544286,89.42159001597226,86.89270591326012,81.6196075647344,82.33070476510423
397,90.37326531302547,85.78055695411909,80.27808295422678,75.1512535567808,69.8373045459285
497,78.09115380071619,73.53177989752251,69.36658511145146,65.94119782700672,62.1908989690179
97,119.82982966869795,114.7580800097343,113.196592095007,103.5512042870768,97.67998649975888
199,112.34889986597642,103.11285986455968,95.7950103571477,98.70855381893132,89.80645929572312
300,102.37510637956203,93.84525645954062,92.68986855215523,84.00008445806819,82.4086525262141
398,92.31743211741608,84.37820463542896,77.97624804294763,76.04289585325843,68.25353037831404
501,79.95618102343545,75.13092010037954,69.79096031311242,66.14653335655247,61.65793121896254
97,119.60959442634166,115.27777504269075,109.18454596546276,105.82843516990167,102.29273215059366
200,108.54788540672558,106.69385116242536,99.37755820498289,97.24566289099826,89.42723465965322
298,100.68268851869065,93.85676321686147,90.30231549050721,88.22607147492774,77.73366300825587
397,95.01053049094693,87.54551507327076,76.05703740002016,73.51887244332589,71.15259930608102
496,79.36530166520694,71.84191977776415,72.7054797893222,60.011291998554405,64.92711386426451
96,119.78218700972333,114.32093968666803,109.42293419863641,107.54936769935897,98.45915040172424
196,109.43258654327053,106.92186435721652,103.03082763069642,92.72872819048435,92.28672306041166
298,102.38094997038696,96.29380904651313,92.29297431746608,86.01859064728401,80.36971730812073
395,92.04392555335629,83.63111919582764,77.77534506065884,73.76785756932735,70.50438970846858
496,80.42241879844892,72.34440265304114,67.66448516820016,68.23408984904337,56.0593828372972
98,123.68007324620335,116.67709785262724,113.55653847860896,103.0405144879807,102.18259791259054
196,111.79709900068244,106.4127413945012,101.28024975128324,97.29236380609888,89.88372541100154
305,99.1133633952293,94.8325111292362,91.93968172967982,87.54741069562237,81.2427806730766
404,87.52236996375143,84.40076510217848,80.47219632834143,77.10825401661924,69.59063526375976
