Time (sec),Proposed,DA,COA,PSO,GA
0,195000,193000,192000,190000,188000
20,194999,192999,191999,189998,187998
40,194998,192998,191998,189996,187996
60,194997,192997,191997,189994,187994
80,194996,192996,191996,189992,187992
100,194995,192995,191995,189990,187990
120,194994,192994,191994,189988,187988
140,194993,192993,191993,189986,187986
160,194992,192992,191992,189984,187984
180,194991,192991,191991,189982,187982
200,194990,192990,191990,189980,187980
220,194989,192989,191989,189978,187978
240,194988,192988,191988,189976,187976
260,194987,192987,191987,189974,187974
280,194986,192986,191986,189972,187972
300,194985,192985,191985,189970,187970
320,194984,192984,191984,189968,187968
340,194983,192983,191983,189966,187966
360,194982,192982,191982,189964,187964
380,194981,192981,191981,189962,187962
400,194980,192980,191980,189960,187960
420,194979,192979,191979,189958,187958
440,194978,192978,191978,189956,187956
460,194977,192977,191977,189954,187954
480,194976,192976,191976,189952,187952
500,194975,192975,191975,189950,187950
520,194974,192974,191974,189948,187948
540,194973,192973,191973,189946,187946
560,194972,192972,191972,189944,187944
580,194971,192971,191971,189942,187942
600,194970,192970,191970,189940,187940
620,194969,192969,191969,189938,187938
640,194968,192968,191968,189936,187936
660,194967,192967,191967,189934,187934
680,194966,192966,191966,189932,187932
700,194965,192965,191965,189930,187930
720,194964,192964,191964,189928,187928
740,194963,192963,191963,189926,187926
760,194962,192962,191962,189924,187924
780,194961,192961,191961,189922,187922
800,194960,192960,191960,189920,187920
820,194959,192959,191959,189918,187918
840,194958,192958,191958,189916,187916
860,194957,192957,191957,189914,187914
880,194956,192956,191956,189912,187912
900,194955,192955,191955,189910,187910
920,194954,192954,191954,189908,187908
940,194953,192953,191953,189906,187906
960,194952,192952,191952,189904,187904
980,194951,192951,191951,189902,187902
1000,194950,192950,191950,189900,187900
1020,194949,192949,191949,189898,187898
1040,194948,192948,191948,189896,187896
1060,194947,192947,191947,189894,187894
1080,194946,192946,191946,189892,187892
1100,194945,192945,191945,189890,187890
1120,194944,192944,191944,189888,187888
1140,194943,192943,191943,189886,187886
1160,194942,192942,191942,189884,187884
1180,194941,192941,191941,189882,187882
1200,194940,192940,191940,189880,187880
1220,194939,192939,191939,189878,187878
1240,194938,192938,191938,189876,187876
1260,194937,192937,191937,189874,187874
1280,194936,192936,191936,189872,187872
1300,194935,192935,191935,189870,187870
